,Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_Variety,Product_Availbility
0,sanitizing-care,MyGlamm WIPEOUT Sanitizing Wipes 25 Wipes Pack,159,,4.9 ratings,https://www.myglamm.com/product/wipeout-sanitizing-wipes-25-wipes-pack.html,61,Sanitizing Wipes,Sanitizing-Wipes,[],Notify
1,sanitizing-care,MyGlamm WIPEOUT Sanitizing Spray  - 200ml,199,,4.9 ratings,https://www.myglamm.com/product/wipeout-sanitizing-spray.html,43,Sanitizing-Spray,Sanitizing-Spray,[],Notify
2,sanitizing-care,Manish Malhotra Antimicrobial Facial Wipes,261,349,5 ratings,https://www.myglamm.com/product/manish-malhotra-antimicrobial-facial-wipes.html,87,Sanitizing Wipes,Sanitizing-Wipes,[],Notify
3,sanitizing-care,MyGlamm WIPEOUT Cleansing Towels  - 10N,186,249,5 ratings,https://www.myglamm.com/product/wipeout-cleansing-towels.html,71,Sanitizing Wipes,Sanitizing-Wipes,[],Notify
4,sanitizing-care,WIPEOUT Sanitizing Spray + WIPEOUT Cleansing Towels,336,448,,https://www.myglamm.com/product/wipeout-sanitizing-spray-wipeout-cleansing-towels.html,,Sanitizing Kits,Sanitizing-Kits,[],WRITE A REVIEW
5,sanitizing-care,MyGlamm WIPEOUT Sanitizing Wipes  - 5N,69,,4.9 ratings,https://www.myglamm.com/product/wipeout-sanitizing-wipes.html,60,Sanitizing Wipes,Sanitizing-Wipes,[],Notify
6,sanitizing-care,Manish Malhotra Antimicrobial Sanitizing Hand Rub 100 ml,199,,5 ratings,https://www.myglamm.com/product/manish-malhotra-antimicrobial-sanitizing-hand-rub-100-ml.html,35,Hand-Sanitizer,Hand-Sanitizer,[],Notify
7,sanitizing-care,Manish Malhotra Antimicrobial Sanitizing Hand Rub,314,349,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-antimicrobial-sanitizing-hand-rub.html,43,Hand-Sanitizer,Hand-Sanitizer,[],Notify
8,sanitizing-care,Manish Malhotra Antimicrobial Sanitizing Spray,244,349,5 ratings,https://www.myglamm.com/product/manish-malhotra-antimicrobial-sanitizing-spray.html,48,Sanitizing-Spray,Sanitizing-Spray,[],Notify
