Title,releaseYear,desc1,Meta_score,duration,rating,image,vote,rated
17. Babygirl,2024.0,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,81.0,1h 54m,6.1,"https://m.media-amazon.com/images/M/MV5BMWRhMjM1MjYtOTE2NC00NWRhLTllZDYtNDM0NGUwNTRmMjUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",0.0,Not Rated
18. Rebel Ridge,2024.0,An ex-Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,77.0,2h 11m,7.0,"https://m.media-amazon.com/images/M/MV5BYTE4ZDE5ZTktZWZkMC00MGY4LWFkZDUtZTc5YWU3NzM2YmM3XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",15000.0,Not Rated
19. Horizon: An American Saga - Chapter 1,2024.0,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",49.0,3h 1m,6.7,"https://m.media-amazon.com/images/M/MV5BYmUwMTA1Y2QtZmYzMi00ZmQ5LWEwOWUtM2RlZDI1Zjg4MmU0XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UY207_CR13,0,140,207_.jpg",24000.0,R
20. The Crow,2024.0,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",30.0,1h 51m,4.6,"https://m.media-amazon.com/images/M/MV5BMjEyOWJjMWQtZTY4Yi00ZjYyLWJhNDktZmRkNzEwMjlhZjQ3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",10000.0,R
21. The Watchers,2024.0,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",46.0,1h 42m,5.7,"https://m.media-amazon.com/images/M/MV5BN2I3MjIzYzMtNDkxNS00ZDIzLWEzZjktNDJlZDZlOGZlMTMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",34000.0,PG-13
22. Furiosa: A Mad Max Saga,2024.0,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,79.0,2h 28m,7.6,"https://m.media-amazon.com/images/M/MV5BNWRlZTJhNGMtOWIyOS00YjRkLWExNjgtNDEwOTY1NGYxYmEwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",190000.0,R
23. The Union,2024.0,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission.",44.0,1h 47m,5.4,"https://m.media-amazon.com/images/M/MV5BY2I0YmNiNmEtNWI2My00NDU5LWIwZWItNWNkNjFmYWJjNTMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",33000.0,PG-13
24. Apartment 7A,2024.0,A struggling dancer finds herself drawn into dark forces by a peculiar couple promising her fame.,0.0,1h 44m,0.0,"https://m.media-amazon.com/images/M/MV5BNTFiZGQzZjUtN2ZjZi00ZGQ0LWI4YWMtNDM5MGFjZTRmZjM4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",0.0,R
25. Stree 2: Sarkate Ka Aatank,2024.0,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.",0.0,2h 27m,7.7,"https://m.media-amazon.com/images/M/MV5BMTA1NmUxYzItZmVmNy00YmQxLTk4Y2UtZjVkMWUwMWQ5N2IxXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",22000.0,Not Rated
26. A Quiet Place: Day One,2024.0,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,68.0,1h 39m,6.3,"https://m.media-amazon.com/images/M/MV5BNGZmODU3ZDEtMjQwZC00NTA5LThmNWYtYzk5MmY5ZmM4NGIxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",92000.0,PG-13
